,City,Lat,Lon,Temp,Humidity,Cloudiness,Wind Speed,Country,Date
71,Chui,-33.7,-53.46,54.59,82,13,8.21,UY,<class 'datetime.date'>
72,Ribeira Grande,38.52,-28.7,59.23,71,25,23.58,PT,<class 'datetime.date'>
73,Yumen,40.28,97.2,53.4,37,20,19.86,CN,<class 'datetime.date'>
74,Tuktoyaktuk,69.45,-133.04,37.4,74,20,16.11,CA,<class 'datetime.date'>
75,Norman Wells,65.28,-126.83,46.4,49,5,17.22,CA,<class 'datetime.date'>
76,Kempele,64.91,25.5,32.9,84,74,9.17,FI,<class 'datetime.date'>
77,Coahuayana Viejo,18.73,-103.68,75.22,82,0,0.96,MX,<class 'datetime.date'>
78,Thoen,17.61,99.22,101.05,39,45,2.39,TH,<class 'datetime.date'>
79,Albany,42.6,-73.97,37.49,63,49,1.99,US,<class 'datetime.date'>
80,Angoche,-16.23,39.91,72.99,84,62,9.73,MZ,<class 'datetime.date'>
81,Provideniya,64.38,-173.3,36.07,91,100,30.04,RU,<class 'datetime.date'>
82,Formosa do Rio Preto,-11.05,-45.19,67.3,93,99,4.56,BR,<class 'datetime.date'>
83,Husavik,66.04,-17.34,23.0,73,0,13.87,IS,<class 'datetime.date'>
84,Bud,39.45,-86.18,44.67,60,1,5.82,US,<class 'datetime.date'>
85,Santa Cruz de la Sierra,-17.8,-63.17,66.2,77,0,8.05,BO,<class 'datetime.date'>
86,Batagay-Alyta,67.8,130.41,25.88,95,100,2.86,RU,<class 'datetime.date'>
87,Bratsk,56.13,101.61,60.8,48,100,20.13,RU,<class 'datetime.date'>
88,Camacha,33.08,-16.33,62.6,72,40,13.87,PT,<class 'datetime.date'>
89,San Patricio,19.22,-104.7,73.92,79,0,3.38,MX,<class 'datetime.date'>
90,Jamestown,42.1,-79.24,37.4,59,90,10.29,US,<class 'datetime.date'>
91,Jinxiang,22.86,115.7,89.56,63,34,10.67,CN,<class 'datetime.date'>
92,Qaanaaq,77.48,-69.36,9.0,83,99,5.55,GL,<class 'datetime.date'>
93,George Town,5.41,100.34,85.14,84,40,3.36,MY,<class 'datetime.date'>
94,Nizhniy Kuranakh,58.84,125.49,45.93,55,62,3.6,RU,<class 'datetime.date'>
95,Luang Prabang,19.89,102.13,82.4,74,40,2.24,LA,<class 'datetime.date'>
96,Shache,38.42,77.24,71.04,40,37,5.41,CN,<class 'datetime.date'>
97,Cherskiy,68.75,161.3,43.74,60,100,13.15,RU,<class 'datetime.date'>
98,Hobart,-42.88,147.33,52.52,40,75,13.87,AU,<class 'datetime.date'>
99,Faya,18.39,42.45,63.5,72,69,3.09,SA,<class 'datetime.date'>
100,Marsá Maţrūḩ,31.35,27.25,55.4,82,0,8.75,EG,<class 'datetime.date'>
101,Luga,58.74,29.85,41.07,68,9,3.4,RU,<class 'datetime.date'>
102,Kailua,21.4,-157.74,77.68,48,40,14.99,US,<class 'datetime.date'>
103,Cabo San Lucas,22.89,-109.91,71.13,78,5,12.88,MX,<class 'datetime.date'>
104,Rosarito,32.33,-117.03,64.31,82,1,6.93,MX,<class 'datetime.date'>
105,Kismayo,-0.36,42.55,79.95,84,95,11.63,SO,<class 'datetime.date'>
106,Buala,-8.14,159.59,85.91,71,53,5.73,SB,<class 'datetime.date'>
107,Petropavlovsk-Kamchatskiy,53.05,158.65,48.2,34,10,22.37,RU,<class 'datetime.date'>
108,Portsmouth,50.8,-1.09,54.0,76,90,9.06,GB,<class 'datetime.date'>
109,Andenes,69.31,16.12,30.2,80,64,5.82,NO,<class 'datetime.date'>
110,Melfi,41.0,15.65,55.4,100,75,5.82,IT,<class 'datetime.date'>
111,Ponta do Sol,32.67,-17.1,60.19,68,40,11.41,PT,<class 'datetime.date'>
112,Acapulco de Juárez,16.86,-99.89,82.4,74,5,3.18,MX,<class 'datetime.date'>
113,Teahupoo,-17.83,-149.27,84.2,70,61,3.36,PF,<class 'datetime.date'>
114,Vila Velha,-20.33,-40.29,63.34,93,40,1.12,BR,<class 'datetime.date'>
115,Katsuura,35.13,140.3,70.45,94,90,16.11,JP,<class 'datetime.date'>
116,Tegul'det,57.31,88.17,75.88,39,42,3.65,RU,<class 'datetime.date'>
117,Fairbanks,64.84,-147.72,72.32,20,1,4.7,US,<class 'datetime.date'>
118,Dondo,-19.61,34.74,68.0,100,75,8.05,MZ,<class 'datetime.date'>
119,Nishihara,26.18,127.76,81.32,69,40,9.17,JP,<class 'datetime.date'>
120,Havre-St-Pierre,50.23,-63.6,37.4,91,90,6.93,CA,<class 'datetime.date'>
121,Anshun,26.25,105.93,71.38,65,73,5.46,CN,<class 'datetime.date'>
122,Puerto Escondido,15.85,-97.07,83.89,70,0,3.53,MX,<class 'datetime.date'>
123,Kusa,55.34,59.44,63.55,51,100,2.62,RU,<class 'datetime.date'>
124,Örnsköldsvik,63.29,18.72,32.0,93,100,4.7,SE,<class 'datetime.date'>
125,San Ramon,37.78,-121.98,55.53,82,90,6.93,US,<class 'datetime.date'>
126,Vila Franca do Campo,37.72,-25.43,60.8,93,75,17.22,PT,<class 'datetime.date'>
127,Hithadhoo,-0.6,73.08,84.92,74,93,10.54,MV,<class 'datetime.date'>
128,Cidreira,-30.18,-50.21,62.02,79,0,7.54,BR,<class 'datetime.date'>
129,Brewster,41.4,-73.62,32.77,93,1,8.05,US,<class 'datetime.date'>
130,Pisco,-13.7,-76.22,66.11,82,25,6.93,PE,<class 'datetime.date'>
131,Rocha,-34.48,-54.33,50.88,84,0,7.99,UY,<class 'datetime.date'>
132,Port Blair,11.67,92.75,86.27,73,56,8.72,IN,<class 'datetime.date'>
133,Comodoro Rivadavia,-45.87,-67.5,55.4,62,100,10.29,AR,<class 'datetime.date'>
134,Hualmay,-11.1,-77.61,66.72,86,35,10.11,PE,<class 'datetime.date'>
135,Tual,-5.67,132.75,83.46,76,87,17.27,ID,<class 'datetime.date'>
136,Mahajanga,-15.72,46.32,75.2,73,20,6.93,MG,<class 'datetime.date'>
137,Khasan,42.43,130.64,61.77,60,100,8.7,RU,<class 'datetime.date'>
138,Zhangye,38.93,100.45,53.37,37,54,16.53,CN,<class 'datetime.date'>
139,Walvis Bay,-22.96,14.51,71.11,36,0,3.76,NA,<class 'datetime.date'>
140,Qui Nhon,13.77,109.23,86.74,65,83,13.02,VN,<class 'datetime.date'>
